locationRef,addressInMap,addressBuilding,addressStreet,addressCity,addressPostCode,addressStateProvince,addressCountry,lat,lng,descriptionOfActivities,ghgAssessmentInclusion,comment,subCode,tenantId
Imagine Firm,"192 Jordan Hollow, Tracytown, Marshall Islands",192,Jordan Hollow,Tracytown,91665,Iowa,Marshall Islands,-76.4741365,19.917258,Too drug without exactly bring.,partially-included,No comments,SL-0023,686e08165310467dcf1eeab1
More Explain,"14227 Matthew Garden, New Jesusbury, Benin",14227,Matthew Garden,New Jesusbury,06815,Florida,Benin,12.4887055,41.012721,Than.,excluded,No comments,LS-6726,686e08165310467dcf1eeab1
Information Build,"6542 Combs Meadow, Harrisfort, Indonesia",6542,Combs Meadow,Harrisfort,16803,Missouri,Indonesia,-2.186385,14.563154,Thing imagine compare once job interest policy office.,included,View trade room reflect policy.,sB-0553,686e08165310467dcf1eeab1
Rich Program,"00720 Mcintyre Spur, South Patrickport, Brunei Darussalam",00720,Mcintyre Spur,South Patrickport,93089,New York,Brunei Darussalam,-16.822579,174.428209,Husband cell.,included,No comments,yK-4058,686e08165310467dcf1eeab1
Development Study,"776 Smith Square, Shannontown, Chad",776,Smith Square,Shannontown,61848,Mississippi,Chad,-23.885895,44.355815,Maintain resource wear talk cut continue nor real guess.,partially-included,No comments,Zf-1108,686e08165310467dcf1eeab1
Sign One,"558 Morris View, Bishophaven, Tajikistan",558,Morris View,Bishophaven,39617,North Dakota,Tajikistan,7.2616545,-162.082369,Skin how attack table.,included,No comments,IH-7148,686e08165310467dcf1eeab1
Central Evidence,"900 Dana Centers, Snyderfurt, Algeria",900,Dana Centers,Snyderfurt,75278,Alabama,Algeria,1.821447,-43.425689,Seek board difference fish look forget time black.,included,Would question add century beautiful form.,Nv-9749,686e08165310467dcf1eeab1
Management Expert,"3134 Amanda Club, South Lucas, New Caledonia",3134,Amanda Club,South Lucas,34880,Mississippi,New Caledonia,39.039466,34.354649,Guy who key person enjoy.,included,No comments,IR-1401,686e08165310467dcf1eeab1
Property Fear,"68810 Hannah Burgs, Danielport, Hong Kong",68810,Hannah Burgs,Danielport,66934,Utah,Hong Kong,74.8363145,-175.029891,White itself way federal.,excluded,No comments,xe-3155,686e08165310467dcf1eeab1
American Age,"832 Mindy Field, New Jennifer, Equatorial Guinea",832,Mindy Field,New Jennifer,85704,Indiana,Equatorial Guinea,33.261695,122.577773,Lose seek debate a.,excluded,No comments,fF-9202,686e08165310467dcf1eeab1
Process They,"35884 George Lodge, Port Markburgh, Philippines",35884,George Lodge,Port Markburgh,51995,New Hampshire,Philippines,70.9264545,102.856634,Television suggest ball network raise summer education chair prevent.,partially-included,No comments,XT-7945,686e08165310467dcf1eeab1
Today Collection,"51550 Turner Mall, North Stephen, Guam",51550,Turner Mall,North Stephen,84920,Arkansas,Guam,88.121912,23.502728,Individual newspaper low laugh serious almost these pay.,partially-included,No comments,FS-4963,686e08165310467dcf1eeab1
Scene Receive,"9313 Lewis Valley, Mollyville, Sudan",9313,Lewis Valley,Mollyville,71790,Delaware,Sudan,-28.799964,95.851537,Anyone economic ok dark oil risk.,included,No comments,Ad-6364,686e08165310467dcf1eeab1
Establish Cup,"40295 Rodgers Alley, Masonhaven, Angola",40295,Rodgers Alley,Masonhaven,61304,Iowa,Angola,53.577418,114.943169,Economic natural themselves would want billion.,included,No comments,CN-3602,686e08165310467dcf1eeab1
Since Writer,"90770 Hannah Mews, South Susan, Chile",90770,Hannah Mews,South Susan,55304,Mississippi,Chile,-24.575254,110.15403,Prevent chair citizen tell often business western start.,included,Dark option win above training.,Yf-1203,686e08165310467dcf1eeab1
Can Go,"576 Nicholas Ranch, Lake Pedroburgh, Hong Kong",576,Nicholas Ranch,Lake Pedroburgh,77332,Massachusetts,Hong Kong,4.3883625,-0.828014,Stage film agreement poor free successful.,partially-included,No comments,jo-6997,686e08165310467dcf1eeab1
Order Score,"663 Wesley Overpass, Kleinstad, Sierra Leone",663,Wesley Overpass,Kleinstad,77597,Illinois,Sierra Leone,-56.7578385,-162.308313,Reach kitchen case yet everyone seek lose impact.,partially-included,Contain believe home hand serious decision language.,ls-2648,686e08165310467dcf1eeab1
Two Suffer,"1398 Elliott Spring, Port Christopherberg, Lithuania",1398,Elliott Spring,Port Christopherberg,39489,Texas,Lithuania,79.624645,42.759409,Claim think wear skin pressure.,included,Production station.,iW-6338,686e08165310467dcf1eeab1
Station Once,"38647 Mendez Ville, Lake Jerry, Poland",38647,Mendez Ville,Lake Jerry,96325,Louisiana,Poland,71.905922,84.367034,Place fine black me shake.,partially-included,Structure another mention.,lR-8921,686e08165310467dcf1eeab1
Catch Discuss,"910 Thompson Wells, Dennisberg, Georgia",910,Thompson Wells,Dennisberg,69982,South Dakota,Georgia,79.351284,153.406975,Smile authority tend easy teach technology compare rise around particular eat.,partially-included,No comments,dL-0242,686e08165310467dcf1eeab1
Color Trial,"218 Arellano Green, Stonemouth, Turkey",218,Arellano Green,Stonemouth,57086,Kentucky,Turkey,-20.0557995,3.364075,Even color most season tonight seven draw.,included,No comments,gv-6165,686e08165310467dcf1eeab1
Radio Record,"4949 Taylor Haven, Port Douglasstad, Gibraltar",4949,Taylor Haven,Port Douglasstad,06246,Kansas,Gibraltar,83.395592,-57.112427,Same day billion.,partially-included,Specific music.,zh-6734,686e08165310467dcf1eeab1
Day Model,"487 Turner Groves, East Kevinville, Swaziland",487,Turner Groves,East Kevinville,84370,Georgia,Swaziland,-45.837902,163.757387,Break case quite skin production fund.,included,No comments,xN-7656,686e08165310467dcf1eeab1
Mention Financial,"9940 Williamson Fords, Margaretville, Morocco",9940,Williamson Fords,Margaretville,26388,Connecticut,Morocco,-19.997261,30.01062,Door time point also factor.,excluded,No comments,fY-9963,686e08165310467dcf1eeab1
Prepare Into,"06033 Robert Wall, Brandyborough, Jamaica",06033,Robert Wall,Brandyborough,20022,Maryland,Jamaica,-12.284629,151.29441,Act produce stuff available.,excluded,No comments,NS-0434,686e08165310467dcf1eeab1
Chance Easy,"34389 Hester Lodge, Bruceside, Western Sahara",34389,Hester Lodge,Bruceside,65381,Massachusetts,Western Sahara,-50.4928885,118.312072,Civil truth sister chance this what.,excluded,No comments,VS-7784,686e08165310467dcf1eeab1
Particularly Modern,"89979 Thompson Throughway, Lake Holly, American Samoa",89979,Thompson Throughway,Lake Holly,28212,New Hampshire,American Samoa,-73.562303,40.43071,None church happy sound green.,excluded,No comments,OV-8151,686e08165310467dcf1eeab1
So Since,"36007 Lee Summit, Beckyland, Isle of Man",36007,Lee Summit,Beckyland,29238,Ohio,Isle of Man,-77.6692865,82.696881,True return option so.,included,Position he season such but teach knowledge.,oK-5074,686e08165310467dcf1eeab1
Short Best,"630 Jonathan Island, Parrishport, Monaco",630,Jonathan Island,Parrishport,37418,South Dakota,Monaco,56.219758,35.854848,Challenge way success.,included,Style put brother bill on sometimes word relate perform short.,XL-1970,686e08165310467dcf1eeab1
